LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,0.0,32817,10,0.0,32770,10
E01000002,City of London 001B,E09000001,City of London,0.0,32832,10,0.0,32415,10
E01000003,City of London 001C,E09000001,City of London,0.2,15804,5,0.2,15417,5
E01000005,City of London 001E,E09000001,City of London,0.3,7874,3,0.4,2525,1
E01032739,City of London 001F,E09000001,City of London,0.1,28395,9,0.0,32836,10
E01032740,City of London 001G,E09000001,City of London,0.0,32367,10,0.0,32844,10
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,0.2,15692,5,0.2,11114,4
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,0.4,3493,2,0.4,3680,2
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,0.4,3948,2,0.4,1972,1
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,0.3,7497,3,0.4,2821,1
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,0.3,5897,2,0.5,881,1
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,0.3,6907,3,0.4,2645,1
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,0.3,4709,2,0.4,2532,1
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,0.3,5567,2,0.3,6077,2
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,0.3,7076,3,0.3,4879,2
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,0.4,3096,1,0.3,4005,2
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,0.4,4524,2,0.3,6986,3
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,0.4,1891,1,0.3,5283,2
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,0.4,2505,1,0.3,7600,3
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,0.3,4866,2,0.3,5900,2
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,0.3,8340,3,0.3,5271,2
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,0.4,3910,2,0.4,3057,1
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,0.3,8140,3,0.3,8270,3
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,0.5,1017,1,0.4,3021,1
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,0.3,8225,3,0.3,5612,2
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,0.4,4183,2,0.3,6726,3
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,0.4,2822,1,0.3,7077,3
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,0.4,3429,2,0.4,1967,1
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,0.2,12993,4,0.2,15841,5
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,0.4,2121,1,0.3,6730,3
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,0.2,13293,5,0.2,11453,4
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,0.2,10543,4,0.2,12465,4
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,0.4,3618,2,0.2,10096,4
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,0.3,5165,2,0.3,4759,2
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,0.3,7283,3,0.2,11991,4
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,0.2,11142,4,0.1,16954,6
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,0.2,12732,4,0.1,21511,7
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,0.2,10923,4,0.2,14553,5
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,0.2,11045,4,0.2,11570,4
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,0.3,4941,2,0.3,4093,2
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,0.3,7768,3,0.2,9669,3
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,0.4,2587,1,0.4,2336,1
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,0.3,6117,2,0.3,6066,2
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,0.3,7688,3,0.2,11964,4
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,0.4,4426,2,0.3,4878,2
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,0.3,6863,3,0.3,6652,3
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,0.4,2774,1,0.6,154,1
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,0.4,3602,2,0.3,4383,2
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,0.2,12544,4,0.4,3725,2
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,0.4,2616,1,0.5,1049,1
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,0.3,7117,3,0.3,5386,2
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,0.4,3609,2,0.3,5533,2
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,0.3,5595,2,0.2,9270,3
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,0.3,6904,3,0.3,6113,2
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,0.4,3429,2,0.2,9145,3
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,0.3,5248,2,0.3,8297,3
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,0.3,6791,3,0.3,4928,2
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,0.3,5844,2,0.3,5035,2
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,0.4,4258,2,0.3,7202,3
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,0.5,1231,1,0.6,370,1
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,0.3,6378,2,0.2,9114,3
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,0.3,5393,2,0.2,8911,3
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,0.3,6740,3,0.2,8971,3
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,0.3,6241,2,0.4,3009,1
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,0.2,14487,5,0.3,8068,3
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,0.2,10792,4,0.2,10449,4
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,0.2,12802,4,0.2,8675,3
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,0.1,19223,6,0.2,13684,5
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,0.2,13847,5,0.2,16226,5
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,0.2,12028,4,0.2,8971,3
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,0.4,4295,2,0.3,4986,2
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,0.3,7223,3,0.3,5341,2
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,0.4,4189,2,0.3,4754,2
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,0.3,4879,2,0.2,11304,4
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,0.3,7373,3,0.3,6643,3
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,0.3,6129,2,0.3,5426,2
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,0.4,2163,1,0.3,6872,3
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,0.3,7979,3,0.4,3235,1
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,0.3,6429,2,0.3,5983,2
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,0.3,9096,3,0.2,10666,4
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,0.3,8868,3,0.3,5081,2
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,0.4,3082,1,0.3,6576,3
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,0.4,3089,1,0.3,5368,2
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,0.3,6902,3,0.3,7711,3
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,0.3,8187,3,0.4,3646,2
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,0.3,7331,3,0.3,4200,2
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,0.3,8706,3,0.2,11049,4
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,0.3,5692,2,0.2,10187,4
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,0.3,6444,2,0.2,11828,4
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,0.4,3279,1,0.3,4915,2
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,0.3,7256,3,0.4,3332,2
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,0.4,4105,2,0.4,3117,1
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,0.3,5972,2,0.3,7164,3
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,0.3,7288,3,0.3,5247,2
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,0.5,1422,1,0.3,7637,3
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,0.3,5931,2,0.4,2873,1
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,0.3,4893,2,0.3,5942,2
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,0.3,5645,2,0.3,6376,2
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,0.3,6555,2,0.3,5716,2
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,0.4,3985,2,0.4,3834,2
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,0.4,3302,2,0.3,3960,2
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,0.4,1997,1,0.3,4822,2
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,0.4,3424,2,0.3,6458,2
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,0.4,3578,2,0.4,2653,1
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,0.4,3289,2,0.3,5242,2
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,0.2,10234,4,0.2,13461,5
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,0.3,6869,3,0.2,14943,5
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,0.3,9184,3,0.2,12929,4
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,0.2,16248,5,0.1,18345,6
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,0.3,5296,2,0.3,6021,2
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,0.2,9717,3,0.2,9462,3
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,0.3,8131,3,0.2,10620,4
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,0.3,7221,3,0.2,15883,5
E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,0.4,2485,1,0.2,10564,4
E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,0.3,6533,2,0.3,5540,2
E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,0.3,6585,3,0.5,1166,1
E01000115,Barnet 009A,E09000003,Barnet,0.1,24681,8,0.0,31478,10
E01000116,Barnet 009B,E09000003,Barnet,0.1,23566,8,0.2,13503,5
E01000117,Barnet 010A,E09000003,Barnet,0.1,18931,6,0.1,23301,8
E01000118,Barnet 010B,E09000003,Barnet,0.1,17962,6,0.1,19781,7
E01000119,Barnet 009C,E09000003,Barnet,0.1,21497,7,0.2,15286,5
E01000120,Barnet 009D,E09000003,Barnet,0.1,22044,7,0.1,22137,7
E01000121,Barnet 010C,E09000003,Barnet,0.4,2074,1,0.3,4162,2
E01000122,Barnet 009E,E09000003,Barnet,0.1,26537,9,0.2,16142,5
E01000123,Barnet 010D,E09000003,Barnet,0.1,16925,6,0.2,16104,5
E01000124,Barnet 010E,E09000003,Barnet,0.3,8296,3,0.3,7270,3
E01000125,Barnet 024A,E09000003,Barnet,0.3,6231,2,0.5,1361,1
E01000126,Barnet 026A,E09000003,Barnet,0.4,4270,2,0.4,2355,1
E01000127,Barnet 024B,E09000003,Barnet,0.4,4126,2,0.4,2989,1
E01000128,Barnet 024C,E09000003,Barnet,0.3,5982,2,0.2,9754,3
E01000129,Barnet 024D,E09000003,Barnet,0.3,7066,3,0.5,1442,1
E01000130,Barnet 021A,E09000003,Barnet,0.3,5899,2,0.3,4834,2
E01000131,Barnet 024E,E09000003,Barnet,0.1,19596,6,0.2,10711,4
E01000132,Barnet 021B,E09000003,Barnet,0.3,7937,3,0.3,4351,2
E01000133,Barnet 021C,E09000003,Barnet,0.3,7833,3,0.3,5843,2
E01000134,Barnet 024F,E09000003,Barnet,0.3,5440,2,0.4,2303,1
E01000135,Barnet 038A,E09000003,Barnet,0.1,17405,6,0.1,23701,8
E01000136,Barnet 038B,E09000003,Barnet,0.0,32050,10,0.1,22398,7
E01000137,Barnet 041A,E09000003,Barnet,0.3,5016,2,0.3,5295,2
E01000138,Barnet 040A,E09000003,Barnet,0.3,6541,2,0.2,11825,4
E01000139,Barnet 041B,E09000003,Barnet,0.2,12532,4,0.1,18031,6
E01000140,Barnet 041C,E09000003,Barnet,0.2,10290,4,0.2,9273,3
E01000141,Barnet 039A,E09000003,Barnet,0.3,6755,3,0.3,6739,3
E01000142,Barnet 040B,E09000003,Barnet,0.3,8789,3,0.2,11469,4
E01000143,Barnet 041D,E09000003,Barnet,0.4,4179,2,0.4,2857,1
E01000144,Barnet 038C,E09000003,Barnet,0.1,20740,7,0.2,12633,4
E01000145,Barnet 037A,E09000003,Barnet,0.1,17946,6,0.1,23066,8
E01000146,Barnet 038D,E09000003,Barnet,0.1,24598,8,0.1,17279,6
E01000147,Barnet 030A,E09000003,Barnet,0.1,23393,8,0.2,14882,5
E01000148,Barnet 030B,E09000003,Barnet,0.3,6389,2,0.4,3404,2
E01000150,Barnet 036A,E09000003,Barnet,0.2,9515,3,0.2,10904,4
E01000151,Barnet 026B,E09000003,Barnet,0.5,1504,1,0.3,3972,2
E01000152,Barnet 026C,E09000003,Barnet,0.4,2957,1,0.4,3090,1
E01000153,Barnet 026D,E09000003,Barnet,0.4,2165,1,0.4,2339,1
E01000154,Barnet 026E,E09000003,Barnet,0.4,4018,2,0.3,4897,2
E01000155,Barnet 030D,E09000003,Barnet,0.2,11666,4,0.3,5988,2
E01000156,Barnet 022A,E09000003,Barnet,0.1,16578,6,0.2,14738,5
E01000157,Barnet 022B,E09000003,Barnet,0.2,11101,4,0.2,12261,4
E01000158,Barnet 015A,E09000003,Barnet,0.2,12768,4,0.2,12132,4
E01000159,Barnet 015B,E09000003,Barnet,0.2,14778,5,0.1,19622,6
E01000160,Barnet 015C,E09000003,Barnet,0.2,14852,5,0.2,13332,5
E01000161,Barnet 015D,E09000003,Barnet,0.2,13654,5,0.2,12499,4
E01000162,Barnet 015E,E09000003,Barnet,0.2,16216,5,0.4,3730,2
E01000163,Barnet 022C,E09000003,Barnet,0.4,4362,2,0.3,4224,2
E01000164,Barnet 022D,E09000003,Barnet,0.3,7877,3,0.4,3525,2
E01000165,Barnet 022E,E09000003,Barnet,0.2,13697,5,0.2,12054,4
E01000166,Barnet 003A,E09000003,Barnet,0.2,11558,4,0.2,15313,5
E01000167,Barnet 002A,E09000003,Barnet,0.3,6937,3,0.2,8918,3
E01000168,Barnet 003B,E09000003,Barnet,0.1,24480,8,0.1,22731,7
E01000169,Barnet 003C,E09000003,Barnet,0.1,19427,6,0.1,17689,6
E01000170,Barnet 006A,E09000003,Barnet,0.3,7442,3,0.2,9876,4
E01000171,Barnet 006B,E09000003,Barnet,0.3,5600,2,0.2,8804,3
E01000172,Barnet 003D,E09000003,Barnet,0.1,16644,6,0.1,21735,7
E01000173,Barnet 006C,E09000003,Barnet,0.1,17628,6,0.2,14931,5
E01000174,Barnet 006D,E09000003,Barnet,0.2,16108,5,0.3,7340,3
E01000175,Barnet 006E,E09000003,Barnet,0.1,24378,8,0.1,23154,8
E01000176,Barnet 027A,E09000003,Barnet,0.4,4303,2,0.4,3803,2
E01000177,Barnet 029A,E09000003,Barnet,0.1,20214,7,0.1,19360,6
E01000178,Barnet 027B,E09000003,Barnet,0.1,17979,6,0.2,16417,5
E01000179,Barnet 029B,E09000003,Barnet,0.1,23473,8,0.2,13507,5
E01000180,Barnet 029C,E09000003,Barnet,0.2,14757,5,0.3,5441,2
E01000181,Barnet 029D,E09000003,Barnet,0.0,30861,10,0.1,17012,6
E01000182,Barnet 029E,E09000003,Barnet,0.0,29387,9,0.1,19337,6
E01000183,Barnet 033A,E09000003,Barnet,0.1,20128,7,0.2,15118,5
E01000184,Barnet 027C,E09000003,Barnet,0.4,2293,1,0.2,8663,3
E01000185,Barnet 029F,E09000003,Barnet,0.3,4968,2,0.5,724,1
E01000186,Barnet 014A,E09000003,Barnet,0.0,28904,9,0.1,24923,8
E01000187,Barnet 014B,E09000003,Barnet,0.2,13814,5,0.3,6898,3
E01000188,Barnet 014C,E09000003,Barnet,0.1,28550,9,0.1,27909,9
E01000189,Barnet 014D,E09000003,Barnet,0.4,2073,1,0.4,2627,1
E01000190,Barnet 014E,E09000003,Barnet,0.1,22024,7,0.1,19640,6
E01000191,Barnet 014F,E09000003,Barnet,0.1,27662,9,0.1,20663,7
E01000192,Barnet 018A,E09000003,Barnet,0.2,15257,5,0.1,18875,6
E01000193,Barnet 018B,E09000003,Barnet,0.1,18644,6,0.1,16494,6
E01000194,Barnet 018C,E09000003,Barnet,0.2,16147,5,0.1,17265,6
E01000195,Barnet 013A,E09000003,Barnet,0.3,6118,2,0.3,6533,2
E01000196,Barnet 028A,E09000003,Barnet,0.2,15111,5,0.1,16638,6
E01000197,Barnet 023A,E09000003,Barnet,0.1,18584,6,0.2,16170,5
E01000198,Barnet 025A,E09000003,Barnet,0.1,18571,6,0.1,17124,6
E01000199,Barnet 025B,E09000003,Barnet,0.1,26682,9,0.1,27027,9
E01000200,Barnet 028B,E09000003,Barnet,0.1,19114,6,0.1,21723,7
E01000201,Barnet 028C,E09000003,Barnet,0.0,28898,9,0.1,25962,8
E01000202,Barnet 028D,E09000003,Barnet,0.0,29511,9,0.1,21063,7
E01000203,Barnet 028E,E09000003,Barnet,0.2,14927,5,0.2,11737,4
E01000204,Barnet 025C,E09000003,Barnet,0.1,27293,9,0.1,19818,7
E01000205,Barnet 035A,E09000003,Barnet,0.1,24743,8,0.1,26484,9
E01000206,Barnet 033B,E09000003,Barnet,0.0,32093,10,0.1,29953,10
E01000207,Barnet 033C,E09000003,Barnet,0.1,25347,8,0.1,28405,9
E01000208,Barnet 033D,E09000003,Barnet,0.1,26232,8,0.1,29292,9
E01000209,Barnet 035B,E09000003,Barnet,0.1,27036,9,0.1,25319,8
E01000210,Barnet 033E,E09000003,Barnet,0.1,23005,8,0.1,26552,9
E01000211,Barnet 035C,E09000003,Barnet,0.2,12332,4,0.2,8994,3
E01000212,Barnet 035D,E09000003,Barnet,0.1,27542,9,0.1,29475,9
E01000213,Barnet 033F,E09000003,Barnet,0.0,32482,10,0.1,28847,9
E01000214,Barnet 038E,E09000003,Barnet,0.0,28869,9,0.1,25965,8
E01000215,Barnet 037B,E09000003,Barnet,0.1,26914,9,0.3,8061,3
E01000216,Barnet 035E,E09000003,Barnet,0.1,25679,8,0.1,17754,6
E01000217,Barnet 035F,E09000003,Barnet,0.1,26169,8,0.1,29022,9
E01000218,Barnet 037C,E09000003,Barnet,0.1,25587,8,0.1,20827,7
E01000219,Barnet 037D,E09000003,Barnet,0.1,20364,7,0.2,13071,4
E01000220,Barnet 037E,E09000003,Barnet,0.1,24013,8,0.2,12001,4
E01000221,Barnet 039B,E09000003,Barnet,0.4,3318,2,0.4,2602,1
E01000222,Barnet 040C,E09000003,Barnet,0.3,5792,2,0.2,11253,4
E01000223,Barnet 039C,E09000003,Barnet,0.4,4217,2,0.3,7384,3
E01000224,Barnet 040D,E09000003,Barnet,0.3,7668,3,0.1,16485,6
E01000225,Barnet 037F,E09000003,Barnet,0.0,31874,10,0.2,11357,4
E01000226,Barnet 018D,E09000003,Barnet,0.3,6494,2,0.5,1391,1
E01000227,Barnet 018E,E09000003,Barnet,0.1,20584,7,0.1,18717,6
E01000228,Barnet 007A,E09000003,Barnet,0.1,18841,6,0.1,18096,6
E01000229,Barnet 013B,E09000003,Barnet,0.2,10222,4,0.2,8466,3
E01000230,Barnet 013C,E09000003,Barnet,0.1,23640,8,0.1,17883,6
E01000231,Barnet 013D,E09000003,Barnet,0.2,13935,5,0.2,16104,5
E01000232,Barnet 013E,E09000003,Barnet,0.1,19990,7,0.2,10630,4
E01000233,Barnet 013F,E09000003,Barnet,0.1,18034,6,0.2,15187,5
E01000234,Barnet 021D,E09000003,Barnet,0.2,14248,5,0.1,22741,7
E01000235,Barnet 021E,E09000003,Barnet,0.3,7017,3,0.3,5725,2
E01000236,Barnet 034A,E09000003,Barnet,0.1,20055,7,0.2,10962,4
E01000237,Barnet 032A,E09000003,Barnet,0.1,25094,8,0.2,14626,5
E01000238,Barnet 034B,E09000003,Barnet,0.1,23194,8,0.1,17288,6
E01000239,Barnet 031A,E09000003,Barnet,0.2,12415,4,0.2,12930,4
E01000240,Barnet 031B,E09000003,Barnet,0.2,15467,5,0.2,11981,4
E01000241,Barnet 031C,E09000003,Barnet,0.1,23311,8,0.2,13341,5
E01000242,Barnet 032B,E09000003,Barnet,0.1,17707,6,0.2,14382,5
E01000243,Barnet 032C,E09000003,Barnet,0.1,22044,7,0.2,12600,4
E01000244,Barnet 032D,E09000003,Barnet,0.1,19272,6,0.2,9470,3
E01000245,Barnet 032E,E09000003,Barnet,0.3,9185,3,0.3,5482,2
E01000246,Barnet 002B,E09000003,Barnet,0.1,25096,8,0.1,26524,9
E01000247,Barnet 002C,E09000003,Barnet,0.1,24379,8,0.1,23460,8
E01000248,Barnet 001A,E09000003,Barnet,0.0,31573,10,0.1,20644,7
E01000249,Barnet 001B,E09000003,Barnet,0.0,28741,9,0.0,31087,10
E01000250,Barnet 001C,E09000003,Barnet,0.2,12520,4,0.2,15795,5
E01000251,Barnet 002D,E09000003,Barnet,0.2,9920,4,0.2,13468,5
E01000252,Barnet 002E,E09000003,Barnet,0.1,18859,6,0.2,12474,4
E01000253,Barnet 007B,E09000003,Barnet,0.1,26751,9,0.1,29324,9
E01000254,Barnet 001D,E09000003,Barnet,0.0,30442,10,0.1,28116,9
E01000255,Barnet 017A,E09000003,Barnet,0.2,14053,5,0.3,7953,3
E01000256,Barnet 016A,E09000003,Barnet,0.1,18891,6,0.1,18234,6
E01000257,Barnet 017B,E09000003,Barnet,0.3,6988,3,0.3,7862,3
E01000258,Barnet 016B,E09000003,Barnet,0.1,23627,8,0.1,24328,8
E01000259,Barnet 025D,E09000003,Barnet,0.2,13527,5,0.1,18011,6
E01000260,Barnet 025E,E09000003,Barnet,0.2,11320,4,0.2,14793,5
E01000261,Barnet 017C,E09000003,Barnet,0.0,29870,10,0.1,18320,6
E01000262,Barnet 017D,E09000003,Barnet,0.2,9387,3,0.2,9153,3
E01000263,Barnet 016C,E09000003,Barnet,0.0,30517,10,0.1,30478,10
E01000264,Barnet 016D,E09000003,Barnet,0.2,13841,5,0.2,14739,5
E01000265,Barnet 011A,E09000003,Barnet,0.3,8227,3,0.2,10001,4
E01000266,Barnet 011B,E09000003,Barnet,0.1,26953,9,0.1,25864,8
E01000267,Barnet 005A,E09000003,Barnet,0.1,17067,6,0.1,20231,7
E01000268,Barnet 005B,E09000003,Barnet,0.3,5289,2,0.1,16501,6
E01000269,Barnet 005C,E09000003,Barnet,0.1,17465,6,0.1,29453,9
E01000270,Barnet 005D,E09000003,Barnet,0.1,20458,7,0.1,21907,7
E01000271,Barnet 008A,E09000003,Barnet,0.1,21118,7,0.1,27881,9
E01000272,Barnet 008B,E09000003,Barnet,0.0,30859,10,0.1,26323,9
E01000273,Barnet 008C,E09000003,Barnet,0.2,15397,5,0.2,12792,4
E01000274,Barnet 011C,E09000003,Barnet,0.2,12032,4,0.2,11977,4
E01000275,Barnet 012A,E09000003,Barnet,0.2,14220,5,0.2,14862,5
E01000276,Barnet 020A,E09000003,Barnet,0.0,32486,10,0.1,28483,9
E01000277,Barnet 012B,E09000003,Barnet,0.2,13564,5,0.3,7980,3
E01000278,Barnet 020B,E09000003,Barnet,0.0,32073,10,0.1,27190,9
E01000279,Barnet 007C,E09000003,Barnet,0.0,31481,10,0.0,32592,10
E01000280,Barnet 007D,E09000003,Barnet,0.0,31165,10,0.0,31542,10
E01000281,Barnet 008D,E09000003,Barnet,0.2,11146,4,0.2,11878,4
E01000282,Barnet 008E,E09000003,Barnet,0.1,24605,8,0.1,22249,7
E01000283,Barnet 012C,E09000003,Barnet,0.0,30715,10,0.1,29603,10
E01000284,Barnet 012D,E09000003,Barnet,0.2,9949,4,0.3,7305,3
E01000285,Barnet 004A,E09000003,Barnet,0.3,9255,3,0.2,15644,5
E01000286,Barnet 007E,E09000003,Barnet,0.3,6815,3,0.2,9999,4
E01000287,Barnet 004B,E09000003,Barnet,0.3,7518,3,0.3,7571,3
E01000288,Barnet 004C,E09000003,Barnet,0.1,17015,6,0.2,13835,5
E01000289,Barnet 004D,E09000003,Barnet,0.4,1767,1,0.3,7256,3
E01000290,Barnet 007F,E09000003,Barnet,0.2,15717,5,0.2,13538,5
E01000291,Barnet 004E,E09000003,Barnet,0.3,4674,2,0.2,9570,3
E01000292,Barnet 001E,E09000003,Barnet,0.1,18273,6,0.1,22655,7
E01000293,Barnet 001F,E09000003,Barnet,0.1,27555,9,0.1,24208,8
E01000294,Barnet 004F,E09000003,Barnet,0.1,17138,6,0.2,15543,5
E01000295,Barnet 023B,E09000003,Barnet,0.0,29694,10,0.2,15993,5
E01000296,Barnet 023C,E09000003,Barnet,0.1,18282,6,0.2,12694,4
E01000297,Barnet 027D,E09000003,Barnet,0.1,18329,6,0.2,11507,4
E01000298,Barnet 023D,E09000003,Barnet,0.2,15583,5,0.2,12271,4
E01000299,Barnet 019A,E09000003,Barnet,0.2,15509,5,0.3,6806,3
E01000300,Barnet 019B,E09000003,Barnet,0.1,23050,8,0.2,9061,3
E01000301,Barnet 020C,E09000003,Barnet,0.0,30276,10,0.1,22643,7
E01000302,Barnet 019C,E09000003,Barnet,0.2,14233,5,0.2,12028,4
E01000303,Barnet 020D,E09000003,Barnet,0.0,30268,10,0.1,19455,6
E01000304,Barnet 020E,E09000003,Barnet,0.1,18567,6,0.2,11296,4
E01000305,Barnet 036B,E09000003,Barnet,0.2,9691,3,0.3,6483,2
E01000306,Barnet 036C,E09000003,Barnet,0.1,24298,8,0.3,6556,2
E01000307,Barnet 039D,E09000003,Barnet,0.2,11896,4,0.3,7674,3
